,County,Population,White Population,% White,Black Population,% Black,Asian Population,% Asian,Hispanic Population,% Hispanic
76,"Dillingham Census Area, Alaska",4857,799,0.16450483837759936,25,0.005147210212065061,48,0.009882643607164917,146,0.030059707638459953
77,"Fairbanks North Star Borough, Alaska",95655,65971,0.6896764413778684,4014,0.0419633056296064,3104,0.03244995034237625,7320,0.07652501176101616
78,"Haines Borough, Alaska",2080,1589,0.7639423076923076,2,0.0009615384615384616,14,0.006730769230769231,67,0.03221153846153846
79,"Hoonah-Angoon Census Area, Alaska",2365,1147,0.48498942917547566,6,0.002536997885835095,16,0.006765327695560253,120,0.0507399577167019
80,"Juneau City and Borough, Alaska",32255,20124,0.623903270810727,350,0.010851030847930553,2101,0.06513718803286313,2077,0.06439311734614789
81,"Kenai Peninsula Borough, Alaska",58799,46382,0.7888229391656321,386,0.006564737495535639,809,0.013758737393493087,2328,0.03959251007670198
82,"Ketchikan Gateway Borough, Alaska",13948,8430,0.6043877258388299,103,0.0073845712646974475,1129,0.08094350444508173,650,0.04660166332090622
83,"Kodiak Island Borough, Alaska",13101,6570,0.5014884359972521,90,0.0068697046027020835,2803,0.21395313334859933,1024,0.07816197236852149
84,"Kusilvak Census Area, Alaska",8368,173,0.020673996175908222,16,0.0019120458891013384,23,0.002748565965583174,14,0.0016730401529636712
85,"Lake and Peninsula Borough, Alaska",1476,303,0.20528455284552846,2,0.0013550135501355014,9,0.006097560975609756,34,0.023035230352303523
86,"Matanuska-Susitna Borough, Alaska",107081,83035,0.775441021282954,1121,0.010468710602254369,1559,0.01455907210429488,5244,0.04897227332580009
87,"Nome Census Area, Alaska",10046,1422,0.14154887517419867,55,0.005474815847103325,111,0.011049173800517618,186,0.018514831773840335
88,"North Slope Borough, Alaska",11031,3082,0.27939443386818963,162,0.014685885232526516,641,0.058108965642280845,548,0.049678179675460066
89,"Northwest Arctic Borough, Alaska",7793,700,0.08982420120621071,72,0.009239060695495958,55,0.007057615809059412,102,0.013088669318619274
90,"Petersburg Borough, Alaska",3398,2470,0.7268981753972925,49,0.014420247204237787,123,0.036197763390229544,164,0.04826368452030606
91,"Prince of Wales-Hyder Census Area, Alaska",5753,2403,0.4176951155918651,22,0.0038240917782026767,27,0.004693203545976013,160,0.02781157656874674
92,"Sitka City and Borough, Alaska",8458,5174,0.6117285410262473,37,0.004374556632773706,573,0.06774651217781981,501,0.05923386143296287
93,"Skagway Municipality, Alaska",1240,1070,0.8629032258064516,10,0.008064516129032258,39,0.031451612903225803,41,0.03306451612903226
94,"Southeast Fairbanks Census Area, Alaska",6808,5085,0.7469153936545241,74,0.010869565217391304,87,0.012779083431257344,376,0.055229142185663924
95,"Wrangell City and Borough, Alaska",2127,1352,0.6356370474847203,0,0.0,25,0.011753643629525154,76,0.035731076633756464
96,"Yakutat City and Borough, Alaska",662,249,0.37613293051359514,4,0.006042296072507553,32,0.04833836858006042,29,0.04380664652567976
97,"Yukon-Koyukuk Census Area, Alaska",5343,1130,0.21149167134568594,7,0.0013101253977166386,8,0.0014972861688190156,72,0.01347557551937114
98,"Apache County, Arizona",66021,14873,0.2252768058648006,185,0.0028021387134396633,312,0.004725769073476621,3861,0.05848139228427319
99,"Cochise County, Arizona",125447,81733,0.6515341140083063,4783,0.03812765550391799,2712,0.02161869155898507,42615,0.33970521415418464
100,"Coconino County, Arizona",145101,83360,0.5744963852764626,1961,0.013514724226573214,2674,0.018428542877030482,21719,0.14968194567921655
101,"Gila County, Arizona",53272,35904,0.6739750713320318,282,0.005293587625769635,445,0.008353356359813786,9283,0.1742566451419132
102,"Graham County, Arizona",38533,25043,0.6499104663535151,537,0.013936106713725898,192,0.004982742065242779,11428,0.2965769600083046
103,"Greenlee County, Arizona",9563,6584,0.6884868765031894,87,0.00909756352609014,75,0.007842727177663914,4376,0.4575969883927638
104,"La Paz County, Arizona",16557,9772,0.5902035392885184,114,0.006885305308932777,115,0.006945702723923416,4197,0.25348795071570934
105,"Maricopa County, Arizona",4420568,2645512,0.598455221139003,260469,0.05892206612362936,203696,0.046079146390237635,1351415,0.30571071409827877
106,"Mohave County, Arizona",213267,169732,0.7958662146511181,2221,0.01041417565774358,2734,0.01281961109782573,34126,0.16001537978215102
107,"Navajo County, Arizona",106717,48430,0.4538171050535528,760,0.007121639476372087,567,0.005313117872503912,10887,0.10201748549903014
108,"Pima County, Arizona",1043433,633382,0.6070174127136098,39954,0.038290910868258914,31367,0.030061345577531092,372788,0.3572706632816865
